wbid,wbtype,uid,batch
4168963895884419,comment,2279101810,2
4168963895884419,comment,5993636770,2
4168963895884419,comment,5700088406,2
4168963895884419,comment,3968583618,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,3195615444,2
4168963895884419,comment,2608727785,2
4168963895884419,comment,5611150947,2
4168963895884419,comment,5056285947,2
4168963895884419,comment,5861320186,2
4168963895884419,comment,1799814494,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,1924571650,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,1879297574,2
4168963895884419,comment,5611150947,2
4168963895884419,comment,5613915153,2
4168963895884419,comment,5861320186,2
4168963895884419,comment,1799814494,2
4168963895884419,comment,2097453085,2
4168963895884419,comment,5669684890,2
4168963895884419,comment,5574304890,2
4168963895884419,comment,5932802399,2
4168963895884419,comment,1811123371,2
4168963895884419,comment,1811123371,2
4168963895884419,comment,6329758910,2
4168963895884419,comment,1811123371,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,5700088406,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,5727996644,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,1220407074,2
4168963895884419,comment,5484141654,2
4168963895884419,comment,5767515033,2
4168963895884419,comment,6098669182,2
4168963895884419,comment,5700088406,2
4168963895884419,comment,5700088406,2
4160274476796588,comment,5114236019,2
4160274476796588,comment,2711411793,2
4160274476796588,comment,2711411793,2
4160274476796588,comment,2319693650,2
4193132146984509,comment,2014961577,2
4193132146984509,comment,5512130313,2
4193132146984509,comment,1931636254,2
4202597700884875,comment,3689344212,2
4202597700884875,comment,2972308132,2
4202597700884875,comment,1904486852,2
4202597700884875,comment,6086950890,2
4202597700884875,comment,2901535121,2
4202597700884875,comment,2164244123,2
4202597700884875,comment,1732185795,2
4202597700884875,comment,5357489985,2
4202597700884875,comment,1799814494,2
4202597700884875,comment,6465698821,2
4202597700884875,comment,5482210323,2
4202597700884875,comment,5935717777,2
4202597700884875,comment,5072203402,2
4188415907543764,comment,3023194335,2
4188415907543764,comment,1698843505,2
4188415907543764,comment,1931636254,2
4188415907543764,comment,5892828331,2
4188415907543764,comment,2852996720,2
4180487742438972,comment,5738541266,2
4180487742438972,comment,3293106981,2
4180487742438972,comment,5396919861,2
4180487742438972,comment,2187509513,2
4180487742438972,comment,3290508232,2
4180487742438972,comment,1732185795,2
4180487742438972,comment,2701277862,2
4180487742438972,comment,5512130313,2
4180487742438972,comment,5633924914,2
4180487742438972,comment,5075471701,2
4180487742438972,comment,3152438864,2
4180487742438972,comment,5396919861,2
4180487742438972,comment,6243861493,2
4180487742438972,comment,1220407074,2
4180487742438972,comment,2164244123,2
4180487742438972,comment,5566954139,2
4190635344375043,comment,1732185795,2
4190635344375043,comment,1220407074,2
4190635344375043,comment,1931636254,2
4190635344375043,comment,2612032067,2
4190635344375043,comment,6077434966,2
4190635344375043,comment,6086950890,2
4167979921278545,comment,6329758910,2
4167979921278545,comment,5072203402,2
4167979921278545,comment,1220407074,2
4167979921278545,comment,3290508232,2
4167979921278545,comment,6329758910,2
4167979921278545,comment,5538404618,2
4167979921278545,comment,1220407074,2
4167979921278545,comment,6329758910,2
4167979921278545,comment,1220407074,2
4186991220302372,comment,5357504147,2
4186991220302372,comment,6020873224,2
4186991220302372,comment,6020873224,2
4186991220302372,comment,1220407074,2
4186991220302372,comment,1732185795,2
4186991220302372,comment,1220407074,2
4186991220302372,comment,2795707432,2
4186991220302372,comment,2881730202,2
4186991220302372,comment,1220407074,2
4186991220302372,comment,5453456467,2
