wbid,uid,batch
4173414946577640,1878650541,1
4166357820209255,1878650541,1
4190672842626458,1878650541,1
4162244311052095,1878650541,1
4161250524759618,1878650541,1
4188792006766006,1878650541,1
4175391340509631,1878650541,1
4187772564745052,1878650541,1
4172713817906537,1878650541,1
4203290469873648,1878650541,1
4190068840632101,1878650541,1
4169267760473518,1878650541,1
4171240224382271,1878650541,1
4183689955427035,1878650541,1
4199557665330929,1878650541,1
4162674759362502,1878650541,1
4161638116495360,1878650541,1
4201710945123182,1878650541,1
4166236969198285,1878650541,1
4184413014837125,1878650541,1
4163795029269409,1878650541,1
4191895972184676,1878650541,1
4173264026747996,1878650541,1
4173614330181090,1878650541,1
4181509801730227,1878650541,1
4198801306734003,1878650541,1
4184467318886921,1878650541,1
4163086221081391,1878650541,1
4162293467987130,1878650541,1
4163661570581949,1878650541,1
4201836619061735,1878650541,1
4164460891209533,1878650541,1
4192273295923118,1878650541,1
4166728928255747,1878650541,1
4161419580717257,1878650541,1
4167433520200455,1878650541,1
4168772543491931,1878650541,1
4163787453724289,1878650541,1
4158746281947355,1878650541,1
4192126427948247,1878650541,1
4173652930868561,1878650541,1
4159261606881289,1878650541,1
4186627103936887,1878650541,1
4159616189203359,1878650541,1
4173760904696206,1878650541,1
4187508952891350,1878650541,1
4160930466513772,1878650541,1
4158167702583076,1878650541,1
4162387852560840,1878650541,1
4192668823490251,1878650541,1
4187766759746700,1878650541,1
4197346167786903,1878650541,1
4159409934175043,1878650541,1
4200089805872775,1878650541,1
4176891810466071,1878650541,1
4188666194252660,1878650541,1
4181411722348253,1878650541,1
4168699088775999,1878650541,1
4171074499820109,1878650541,1
4169595767531512,1878650541,1
4163579244451464,1878650541,1
4159119433221742,1878650541,1
4161989284556935,1878650541,1
4166691079033343,1878650541,1
4162013284175631,1878650541,1
4172553570386382,1878650541,1
4173998218113256,1878650541,1
4177630783475831,1878650541,1
4202406894332503,1878650541,1
4195699056921116,1878650541,1
4186471365391917,1878650541,1
4162641603885965,1878650541,1
4197708291920468,1878650541,1
4186277325017481,1878650541,1
4199563998524043,1878650541,1
4197444591707069,1878650541,1
4176353627202725,1878650541,1
4176150853121304,1878650541,1
4199285447332825,1878650541,1
4184030671195961,1878650541,1
4201200117092263,1878650541,1
4162797589490137,1878650541,1
4197113191303389,1878650541,1
4164182008246649,1878650541,1
4180489755352128,1878650541,1
4201127283128453,1878650541,1
4159987288334417,1878650541,1
4191169174379048,1878650541,1
4199171819150276,1878650541,1
4201881671195856,1878650541,1
4202049967053406,1878650541,1
4200586783926177,1878650541,1
4189901760853605,1878650541,1
4175801140394563,1878650541,1
4187892412837811,1878650541,1
4180814633397029,1878650541,1
4201908917042237,1878650541,1
4199644374926534,1878650541,1
4160075117019108,1878650541,1
4162207082531553,1878650541,1
4166729393418704,1878650541,1
4201639696483548,1878650541,1
4172048097753583,1878650541,1
4175398659409214,1878650541,1
4200977714610210,1878650541,1
4201655245850865,1878650541,1
4181159573766585,1878650541,1
4168862888415395,1878650541,1
4202620471991407,1878650541,1
4166126155772186,1878650541,1
4194405068568377,1878650541,1
4189196765245975,1878650541,1
4185952521364513,1878650541,1
4184309906075911,1878650541,1
4164901377062316,1878650541,1
4202507855112594,1878650541,1
4172019828687655,1878650541,1
4187425032795954,1878650541,1
4181381179101989,1878650541,1
4173290848966917,1878650541,1
4188519599533724,1878650541,1
4164537185892648,1878650541,1
4162164749546260,1878650541,1
4185349292708151,1878650541,1
4199313683474075,1878650541,1
4161308586939425,1878650541,1
4179726828441490,1878650541,1
4166982192188578,1878650541,1
4166467500444907,3173872645,1
4177026011079896,3173872645,1
4160587577300623,3173872645,1
4177930798583883,3173872645,1
4172860874099842,3173872645,1
4166070031590956,3173872645,1
4168598983121947,3173872645,1
4196942835122776,3173872645,1
4196864888906718,3173872645,1
4159204778049871,3173872645,1
4175910913291740,3173872645,1
4198221393383809,3173872645,1
4162486729273771,3173872645,1
4172885000389126,3173872645,1
4185277054785846,3173872645,1
4190740102148907,3173872645,1
4174646925996728,3173872645,1
4185302354702431,3173872645,1
4172934727097987,3173872645,1
4180184741256194,3173872645,1
4165015063383312,3173872645,1
4176107424967096,3173872645,1
4199816374021375,3173872645,1
4180204571800659,3173872645,1
4190620505224478,3173872645,1
4197206481921238,3173872645,1
4162638999484155,3173872645,1
4191264025301729,3173872645,1
4187085474703780,3173872645,1
4162025372358750,3173872645,1
4190604478405347,3173872645,1
4202991512400056,3173872645,1
4162479472502101,3173872645,1
4189691693507757,3173872645,1
4186730368023709,3173872645,1
4159641825565861,3173872645,1
4185558491793693,3173872645,1
4189529151739686,3173872645,1
4169629633476345,3173872645,1
4194593928771014,3173872645,1
4160929127573450,3173872645,1
4186606699352954,3173872645,1
4198910156736470,3173872645,1
4202294252323004,3173872645,1
4160268101379304,3173872645,1
4173932519126197,3173872645,1
4172882290961530,3173872645,1
4193285063101801,3173872645,1
4200527900400269,3173872645,1
4159971631403568,3173872645,1
4185319710568456,3173872645,1
4189972053345403,3173872645,1
4172659975656462,3173872645,1
4168286012735396,3173872645,1
4199058077664111,3173872645,1
4174658263450089,3173872645,1
4175455923920141,3173872645,1
4189645938479204,3173872645,1
4180901216446910,3173872645,1
4162492844829136,3173872645,1
4185498765365293,3173872645,1
4168176835321782,3173872645,1
4183711584661208,3173872645,1
4173411922093936,3173872645,1
4162481914020304,3173872645,1
4191102972057566,3173872645,1
4200057785864193,3173872645,1
4177254990629313,5175655487,1
4192574187104288,5175655487,1
4200932453406223,5175655487,1
4183939520020882,5175655487,1
4159617217579687,5175655487,1
4167554714607220,5175655487,1
4185667010864708,5175655487,1
4195524703610725,5175655487,1
4178499511760437,5175655487,1
4187459497722695,5175655487,1
4184553167707682,5175655487,1
4200929882477940,5175655487,1
4190842543458343,5175655487,1
4201611737194625,5175655487,1
4197008040580040,5175655487,1
4186364646054635,5175655487,1
4167488176126870,5175655487,1
4197641124740865,5175655487,1
4199468142169778,5175655487,1
4178494726290755,5175655487,1
4176329492019217,5175655487,1
4195174160655247,5175655487,1
4190848809961003,5175655487,1
4192582123377278,5175655487,1
4190842065884475,5175655487,1
4196843170130079,5175655487,1
4167831354771285,5175655487,1
4183824973674049,5175655487,1
4172736857185929,5175655487,1
4158008081247326,5175655487,1
4178124800917237,5175655487,1
4188105558715271,5175655487,1
4169902761671506,5175655487,1
4170070286982521,5175655487,1
4187192408095475,5175655487,1
4175066730355805,5175655487,1
4170044160393143,5175655487,1
4173604151130754,5175655487,1
4176936655646292,5175655487,1
4196993175208340,5175655487,1
4184614950191080,5175655487,1
4201332702906904,5175655487,1
4187212100271476,5175655487,1
4181607055833170,5175655487,1
4164611480068811,5175655487,1
4188638030151379,5175655487,1
4168931269356418,5175655487,1
4159124939725500,5175655487,1
4189087734325745,5175655487,1
4158568611337563,5175655487,1
4195049375648141,5175655487,1
4190405039699599,5175655487,1
4190841369348818,5175655487,1
4172229829442558,5175655487,1
4195017784487537,5175655487,1
4174631847563910,5175655487,1
4187799316593980,5175655487,1
4170517021835205,5175655487,1
4178738960705163,5175655487,1
4196902004452102,5175655487,1
4181308877755569,5175655487,1
4188638516550210,5175655487,1
4199746400546157,5175655487,1
4188321804928567,5175655487,1
4158183217907067,5175655487,1
4169897342757127,5175655487,1
4158904802091556,5175655487,1
4195541422283989,5175655487,1
4195521789083325,5175655487,1
4200543671272107,5175655487,1
4197251029322609,5175655487,1
4168932837985608,5175655487,1
4170715299588809,5175655487,1
4202307274740406,5175655487,1
4192896837492927,5175655487,1
4167677348143165,5175655487,1
4159609670970897,5175655487,1
4176209455223836,5175655487,1
4180306694591493,5175655487,1
4195125779056204,5175655487,1
